arbitrage_rank,arbitrage_multiple,poecurrency_title,poecurrency_category,poecurrency_price_usd,poecurrency_stock,listing_quantity,scout_name,scout_category,scout_kind,scout_divine_price,listing_divine_value,scout_quantity,price_per_divine_usd,usd_per_divine,direct_divine_price_usd
1,5.1706,Idol of Silk,Socketable / Idol,0.01,-1,1.0,Idol of Silk,Ritual Omens,currency,1.034118,1.034118,1,0.00967,0.00967,0.05
2,3.2723,Essence of Insulation,Crafted Currency / Essences,0.0055,-1,1.0,Essence of Insulation,Essences,currency,0.359951,0.359951,1,0.01528,0.01528,0.05
3,2.0484,Lesser Essence of Alacrity,Crafted Currency / Essences,0.022,-1,1.0,Lesser Essence of Alacrity,Essences,currency,0.901292,0.901292,1,0.024409,0.024409,0.05
4,1.9977,Perfect Essence of the Body,Crafted Currency / Essences,0.0013,-1,1.0,Perfect Essence of the Body,Essences,currency,0.05274,0.05274,20,0.025029,0.025029,0.05
5,1.6835,Kalisa's Crescendo,Skill Gems & Support Gems / Lineage Support Gems,0.0297,-1,1.0,Kalisa's Crescendo,Lineage Support Gems,currency,1.0,1.0,2,0.0297,0.0297,0.05
6,1.5948,Omen of Chaotic Rarity,Crafted Currency / Ritual Omens,0.011,-1,1.0,Omen of Chaotic Rarity,Ritual Omens,currency,0.350851,0.350851,3597,0.031352,0.031352,0.05
7,1.4774,Perfect Essence of the Infinite,Crafted Currency / Essences,0.0033,-1,1.0,Perfect Essence of the Infinite,Essences,currency,0.097508,0.097508,315,0.033843,0.033843,0.05
8,1.4695,Refined Sibilant Catalyst,Crafted Currency / Breach Catalysts,0.165,-1,1.0,Refined Sibilant Catalyst,Breach,currency,4.849342,4.849342,234,0.034025,0.034025,0.05
9,1.4583,Emergent Vigour,Socketable / Runes,0.24,-1,1.0,Emergent Vigour,Expedition Coinage & Artifacts,currency,7.0,7.0,1,0.034286,0.034286,0.05
10,1.3636,Emergent Instinct,Socketable / Runes,0.11,-1,1.0,Emergent Instinct,Expedition Coinage & Artifacts,currency,3.0,3.0,1,0.036667,0.036667,0.05
11,1.3098,Ancient Rune of Animosity,Socketable / Runes,0.02,-1,1.0,Ancient Rune of Animosity,Runes,currency,0.523909,0.523909,2,0.038175,0.038175,0.05
12,1.1691,Essence of Electricity,Crafted Currency / Essences,0.022,-1,1.0,Essence of Electricity,Essences,currency,0.514398,0.514398,2,0.042768,0.042768,0.05
13,1.1305,Essence of Delirium,Crafted Currency / Essences,0.022,-1,1.0,Essence of Delirium,Essences,currency,0.497435,0.497435,48,0.044227,0.044227,0.05
